Date,Title,Category,Description,ImageURL,Location,Participants,FeedType
2026-07-13,Art & Creativity Day,Art,"Facilitated by Subraato Dalu, a school teacher from the community. Participants explored art using naturally available materials like leaves and old newspapers.",,Sidhabari,26,Camp
2026-07-14,Health & Hygiene Day,Health & Hygiene,"Yoga, warm-up exercises, nutrition and hygiene led by Gautam Dalu and Sukanta Bhowmick — showing how locally available food meets nutritional needs.",,Sidhabari,20,Camp
2026-07-15,Library Session,Library,"Interactive reading, quizzes and library games led by Suman Biswas and Arjun, trained by Mitraja in collaboration with Free Library Network.",,Sidhabari,16,Camp
2026-07-16,Pottery & Creativity Workshop,Pottery,"Hands-on Goalparia pottery with Banamallika Choudhary, Founder of Mudhill Pottery, with special guest Sisir Basumatary.",,Sidhabari,55,Camp
2026-07-17,Community Leadership & Green Skills,Green Skills,"Local flora, medicinal plants and traditional plantation techniques with Jugantar Hazong and Nitai Sarkar; leadership facilitated by Maheswar Hazong.",,Sidhabari,36,Camp
2026-07-18,Sports Day,Sports,"A full day of sport led by Plabon Hazong and Dalim Dalu, with the SELCO Kokrajhar team as special guests — the single biggest driver of community unity all week.",,Sidhabari,73,Camp
2026-07-19,Closing Ceremony,Community,"Dance, music, community lunch and prize distribution, with special guest Benjamin Kamak of Krishi Vigyan Kendra, Dudhnoi.",,Sidhabari,66,Camp
2026-05-01,Apollo Library open hours,Library,"Weekly reading and lending hours at the Apollo Library, run by trained community volunteers.",,Sidhabari,,Update
2026-04-10,Crochet & Knitting Workshop,Livelihood,"Ongoing collaborative sessions with Kasiyoli Store building alternative livelihood skills for local women.",,Sidhabari,,Update
2026-03-22,Bamboo Work Workshop,Livelihood,"Traditional bamboo craft training, using the same skills the community used to rebuild the Apollo Club itself.",,Sidhabari,,Update
2026-02-14,Photography Workshop,Livelihood,"Youth trained to document their own community and craft — building both a skill and a visual record of Mitraja's work.",,Sidhabari,,Update
2026-01-04,Apollo Club Reopening,Community,"The Apollo Club reopened after community members restored its old bamboo structure through voluntary labour.",,Sidhabari,,Update
